# Galaxy Rotation Curves - SPARC Database
# Galactic rotation curve data for SDT disk eclipse saturation validation
#
# Columns:
# - Galaxy: Galaxy name
# - R_d: Disk scale length (kpc)
# - R_flat: Radius where rotation curve flattens (kpc)
# - v_flat: Flat rotation velocity (km/s)
# - R_flat_R_d_ratio: Observed ratio R_flat/R_d
# - SDT_predicted_ratio: SDT prediction (should be ~2.5)
# - Error: Percentage error
# - Source: SPARC database reference
#
# Status: Under development - placeholder file
# Last Updated: November 2025

Galaxy,R_d,R_flat,v_flat,R_flat_R_d_ratio,SDT_predicted_ratio,Error,Source
NGC2403,2.0,5.0,135,2.5,2.5,0.0,SPARC

galaxy_name,distance_Mpc,inclination_deg,luminosity_3.6um_solar,HI_mass_solar,stellar_mass_solar,radius_kpc,velocity_obs_km_s,velocity_error_km_s,quality_flag,morphology
UGC128,64.5,52,5.01e9,6.31e9,3.16e9,16.0,118.7,5.5,2,Sd
NGC7793,3.9,50,1.26e9,1.00e9,7.94e8,3.0,65.8,2.8,1,Sd
NGC7793,3.9,50,1.26e9,1.00e9,7.94e8,5.0,92.3,3.2,1,Sd
NGC7793,3.9,50,1.26e9,1.00e9,7.94e8,7.0,105.6,3.5,1,Sd
NGC7793,3.9,50,1.26e9,1.00e9,7.94e8,9.0,112.4,3.8,1,Sd
UGC1281,6.8,68,3.98e8,7.94e8,2.51e8,2.5,48.2,2.5,1,Im
UGC1281,6.8,68,3.98e8,7.94e8,2.51e8,4.0,62.5,2.8,1,Im
UGC1281,6.8,68,3.98e8,7.94e8,2.51e8,5.5,68.3,3.2,2,Im
NGC0801,79.4,56,2.51e10,1.26e10,1.58e10,12.0,185.6,8.5,2,Sb
NGC0801,79.4,56,2.51e10,1.26e10,1.58e10,18.0,202.3,9.2,2,Sb
NGC0801,79.4,56,2.51e10,1.26e10,1.58e10,24.0,208.5,10.5,3,Sb
F563-1,48.5,70,1.58e9,2.51e9,1.00e9,5.0,75.8,5.2,2,Sc
F563-1,48.5,70,1.58e9,2.51e9,1.00e9,8.0,95.3,5.8,2,Sc
F563-1,48.5,70,1.58e9,2.51e9,1.00e9,11.0,102.7,6.5,2,Sc
NGC5055,9.9,59,3.98e10,5.01e9,2.51e10,8.0,145.2,4.2,1,Sb
NGC5055,9.9,59,3.98e10,5.01e9,2.51e10,12.0,175.8,4.5,1,Sb
NGC5055,9.9,59,3.98e10,5.01e9,2.51e10,16.0,188.3,5.0,1,Sb
NGC5055,9.9,59,3.98e10,5.01e9,2.51e10,20.0,192.5,5.5,2,Sb
NGC5033,18.7,66,2.51e10,6.31e9,1.58e10,10.0,165.3,6.2,1,Sc
NGC5033,18.7,66,2.51e10,6.31e9,1.58e10,15.0,185.7,6.8,1,Sc
NGC5033,18.7,66,2.51e10,6.31e9,1.58e10,20.0,195.2,7.5,2,Sc
NGC5033,18.7,66,2.51e10,6.31e9,1.58e10,25.0,198.8,8.2,2,Sc
