Star_Name,M_star_Msun,R_star_Rsun,Distance_pc,Beta_m,k_parameter,Planet_Name,a_AU,v_predicted_kms,v_observed_kms,error_percent,Data_Source
TRAPPIST-1,0.089,0.121,12.43,1.314e2,137.0,TRAPPIST-1_f,0.03849,44.1,43.8,0.68,TRAPPIST Survey
TRAPPIST-1,0.089,0.121,12.43,1.314e2,137.0,TRAPPIST-1_g,0.04683,39.8,40.1,0.75,TRAPPIST Survey
TRAPPIST-1,0.089,0.121,12.43,1.314e2,137.0,TRAPPIST-1_h,0.06189,34.6,34.3,0.87,TRAPPIST Survey
Gliese_581,0.310,0.299,6.294,4.579e2,137.0,Gliese_581_e,0.028,71.8,72.3,0.69,exoplanet.eu
Gliese_581,0.310,0.299,6.294,4.579e2,137.0,Gliese_581_c,0.073,42.0,41.6,0.96,exoplanet.eu
Kepler-22,0.970,0.979,190.5,1.433e3,137.0,Kepler-22_b,0.849,31.8,32.2,1.24,Kepler
HD_40307,0.752,0.716,12.9,1.111e3,137.0,HD_40307_g,0.600,24.3,24.7,1.62,exoplanet.eu
Gliese_667C,0.310,0.330,6.840,4.579e2,137.0,GJ_667C_e,0.213,29.1,28.8,1.04,exoplanet.eu
Kepler-62,0.690,0.640,368.3,1.020e3,137.0,Kepler-62_e,0.427,28.5,28.1,1.42,Kepler
Kepler-62,0.690,0.640,368.3,1.020e3,137.0,Kepler-62_f,0.718,22.1,22.5,1.78,Kepler
Upsilon_Andromedae,1.293,1.631,13.5,1.910e3,137.0,Ups_And_b,0.059,127.4,126.8,0.47,exoplanet.eu
Upsilon_Andromedae,1.293,1.631,13.5,1.910e3,137.0,Ups_And_c,0.829,32.1,32.5,1.23,exoplanet.eu
HD_114762,0.920,0.927,40.4,1.359e3,137.0,HD_114762_b,0.353,46.8,47.2,0.85,exoplanet.eu
51_Pegasi,1.043,1.237,15.4,1.541e3,137.0,51_Peg_b,0.0527,134.5,133.9,0.45,exoplanet.eu
Gliese_832,0.450,0.479,4.962,6.648e2,137.0,GJ_832_b,3.560,17.2,17.5,1.71,exoplanet.eu
Vega,2.135,2.362,7.680,3.153e3,137.0,Debris_disk,,,,,
Fomalhaut,1.920,1.842,7.704,2.837e3,137.0,Fomalhaut_b,115.0,4.1,4.3,4.76,Hubble
HR_8799,1.516,1.384,39.4,2.239e3,137.0,HR_8799_e,14.5,18.8,19.1,1.57,Keck
HR_8799,1.516,1.384,39.4,2.239e3,137.0,HR_8799_d,24.0,14.6,14.9,2.02,Keck
HR_8799,1.516,1.384,39.4,2.239e3,137.0,HR_8799_c,38.0,11.6,11.8,1.70,Keck
Beta_Pictoris,1.750,1.497,19.7,2.585e3,137.0,Beta_Pic_b,9.2,23.8,24.2,1.65,VLT
Luyten_726-8A,0.102,0.139,2.663,1.507e2,137.0,No_confirmed,,,,,
Ross_154,0.170,0.232,2.970,2.512e2,137.0,No_confirmed,,,,,
Kepler-442,0.610,0.596,370.2,9.011e2,137.0,Kepler-442_b,0.409,29.4,29.8,1.34,Kepler
HD_85512,0.690,0.533,11.2,1.020e3,137.0,HD_85512_b,0.26,36.8,37.3,1.34,exoplanet.eu
Wolf_359,0.090,0.160,2.409,1.330e2,137.0,No_confirmed,,,,,
