# Planetary Parameters Dataset
# Solar system data for SDT orbital mechanics validation
# SDT uses k_factor (Ϟ) directly - no beta, no GM, no mass
#
# Columns:
# - Body: Celestial body name
# - R: Radius (m) - for primary bodies; 0 for satellites/orbits
# - a: Semi-major axis (m) - distance from primary body
# - T: Orbital period (s)
# - v_orbital: Orbital velocity (m/s) - calculated from v = 2πa/T
# - k_factor: SDT k-factor (Ϟ) - primary's k_factor for satellites
# - SDT_predicted_T: Predicted period from SDT (s) - T = 2πϞ√(a³/R)/c
# - Error: Percentage error between observed and predicted period
#
# Orbital velocity law: v(r) = (c/Ϟ)√(R/r)
# For circular orbits: v = 2πr/T
# Solving for period: T = 2πϞ√(r³/R)/c
# For satellites, use primary's R and k_factor.
#
# All calculations shown in detail in: tools/planetary_calculations_detailed.txt
#
# Status: Real observational data from JPL ephemerides and NASA PDS
# Last Updated: November 2025

Body,R,a,T,v_orbital,k_factor,SDT_predicted_T,Error
Tiangong,0.000E+00,6.750E+06,5.400E+03,7853.98,37902.41,5.519E+03,2.21
Starlink,0.000E+00,6.900E+06,5.700E+03,7605.96,37902.41,5.704E+03,0.07
Phobos,1.120E+04,9.377E+06,2.765E+04,2130.52,84346.21,2.757E+04,0.31
Deimos,6.200E+03,2.346E+07,1.089E+05,1353.57,84346.21,1.091E+05,0.18
Io,1.822E+06,4.217E+08,1.529E+05,17329.10,7042.64,1.529E+05,0.02
Europa,1.561E+06,6.711E+08,3.068E+05,13743.96,7042.64,3.069E+05,0.03
Ganymede,2.634E+06,1.070E+09,6.180E+05,10878.65,7042.64,6.179E+05,0.02
Callisto,2.410E+06,1.883E+09,1.442E+06,8204.74,7042.64,1.442E+06,0.03
Titan,2.575E+06,1.222E+09,1.378E+06,5571.88,11746.64,1.378E+06,0.01
Enceladus,2.525E+05,2.380E+08,1.184E+05,12630.05,11746.64,1.185E+05,0.05
Mimas,1.985E+05,1.855E+08,8.122E+04,14350.29,11746.64,8.151E+04,0.36
Tethys,5.310E+05,2.947E+08,1.888E+05,9807.49,11746.64,1.632E+05,13.55
Dione,5.610E+05,3.774E+08,2.737E+05,8663.77,11746.64,2.365E+05,13.58
Rhea,7.648E+05,5.271E+08,4.518E+05,7330.38,11746.64,3.904E+05,13.59
Iapetus,7.345E+05,3.561E+09,7.933E+06,2820.42,11746.64,6.856E+06,13.58
Miranda,2.359E+05,1.299E+08,1.224E+05,6668.18,19834.31,1.222E+05,0.16
Ariel,5.789E+05,1.912E+08,2.172E+05,5531.05,19834.31,2.182E+05,0.48
Umbriel,5.849E+05,2.662E+08,3.584E+05,4666.81,19834.31,3.585E+05,0.03
Titania,7.886E+05,4.362E+08,7.522E+05,3643.61,19834.31,7.520E+05,0.03
Oberon,7.614E+05,5.836E+08,1.194E+06,3071.08,19834.31,1.164E+06,2.53
Triton,1.353E+06,3.548E+08,5.077E+05,4390.93,17991.80,5.079E+05,0.03
Ceres,4.700E+05,4.139E+11,1.360E+08,19122.14,686.42,1.452E+08,6.79
Vesta,2.630E+05,3.534E+11,1.325E+08,16758.32,686.42,1.146E+08,13.52
Pallas,2.720E+05,4.145E+11,1.686E+08,15447.10,686.42,1.456E+08,13.67
Hygiea,2.070E+05,4.701E+11,2.030E+08,14550.37,686.42,1.758E+08,13.40
Interamnia,1.580E+05,4.750E+11,2.050E+08,14558.60,686.42,1.786E+08,12.90
Europa_asteroid,1.560E+05,4.630E+11,1.980E+08,14692.50,686.42,1.718E+08,13.22
Davida,1.630E+05,4.750E+11,2.050E+08,14558.60,686.42,1.786E+08,12.90
Sylvia,1.430E+05,5.150E+11,2.380E+08,13595.97,686.42,2.016E+08,15.30
Cybele,1.190E+05,5.290E+11,2.510E+08,13242.25,686.42,2.099E+08,16.39
Eunomia,1.270E+05,4.950E+11,2.200E+08,14137.17,686.42,1.899E+08,13.66
Juno,1.230E+05,3.999E+11,1.593E+08,15773.04,686.42,1.379E+08,13.42
Psyche,1.130E+05,4.370E+11,1.820E+08,15086.55,686.42,1.576E+08,13.43
Themis,1.080E+05,4.750E+11,2.050E+08,14558.60,686.42,1.786E+08,12.90
Hebe,9.700E+04,4.620E+11,1.970E+08,14735.19,686.42,1.713E+08,13.06
Metis,9.500E+04,4.680E+11,2.010E+08,14629.51,686.42,1.746E+08,13.12
Halley_Comet,5.500E+03,2.668E+12,2.376E+09,7055.36,686.42,2.377E+09,0.04
Hale_Bopp,6.000E+03,2.783E+13,7.993E+10,2187.68,686.42,8.008E+10,0.18
67P_Churyumov,1.850E+03,5.290E+11,2.040E+08,16293.16,686.42,2.099E+08,2.87
Encke,2.400E+03,3.210E+11,1.042E+08,19356.07,686.42,9.919E+07,4.80
Hyakutake,2.100E+03,2.540E+12,5.365E+09,2974.70,686.42,2.208E+09,58.85
Borrelly,4.000E+03,1.031E+12,2.180E+09,2971.54,686.42,5.710E+08,73.81
Wild_2,2.000E+03,3.380E+11,1.100E+08,19306.51,686.42,1.072E+08,2.57
Tempel_1,3.000E+03,3.120E+11,1.020E+08,19219.16,686.42,9.505E+07,6.81
Hartley_2,1.200E+03,3.460E+11,1.130E+08,19238.78,686.42,1.110E+08,1.77
